iter	Passed	Remaining
0	215	107772
1	272	67921
2	337	55901
3	384	47731
4	454	45025
5	495	40800
6	537	37873
7	623	38321
8	694	37882
9	750	36763
10	816	36309
11	869	35377
12	928	34778
13	993	34491
14	1038	33592
15	1102	33352
16	1164	33095
17	1227	32868
18	1289	32655
19	1358	32602
20	1411	32195
21	1460	31740
22	1534	31834
23	1590	31550
24	1679	31908
25	1756	32014
26	1806	31645
27	1856	31299
28	1921	31210
29	2010	31494
30	2079	31458
31	2143	31348
32	2192	31023
33	2245	30778
34	2313	30738
35	2377	30640
36	2435	30481
37	2533	30802
38	2615	30917
39	2687	30911
40	2734	30613
41	2787	30393
42	2843	30221
43	2915	30213
44	2970	30030
45	3039	30001
46	3089	29780
47	3168	29838
48	3240	29826
49	3282	29542
50	3340	29408
51	3412	29401
52	3464	29220
53	3537	29215
54	3589	29042
55	3658	29005
56	3685	28644
57	3742	28523
58	3791	28339
59	3882	28472
60	3941	28367
61	4019	28398
62	4064	28195
63	4148	28259
64	4175	27944
65	4240	27883
66	4303	27810
67	4382	27843
68	4441	27746
69	4504	27669
70	4569	27609
71	4626	27500
72	4698	27483
73	4754	27373
74	4820	27315
75	4891	27291
76	4953	27210
77	5008	27095
78	5106	27211
79	5165	27120
80	5223	27019
81	5293	26985
82	5348	26869
83	5421	26848
84	5514	26922
85	5557	26753
86	5603	26602
87	5658	26492
88	5745	26532
89	5797	26413
90	5859	26335
91	5948	26379
92	6008	26296
93	6052	26139
94	6126	26119
95	6179	26004
96	6250	25968
97	6308	25876
98	6369	25801
99	6432	25730
100	6494	25655
101	6559	25595
102	6626	25541
103	6692	25483
104	6730	25321
105	6775	25183
106	6826	25072
107	6860	24900
108	6918	24818
109	6960	24676
110	7022	24611
111	7067	24483
112	7114	24364
113	7203	24390
114	7252	24281
115	7321	24237
116	7409	24254
117	7484	24229
118	7523	24086
119	7566	23959
120	7611	23841
121	7651	23708
122	7693	23579
123	7731	23442
124	7770	23312
125	7802	23160
126	7850	23057
127	7890	22930
128	7930	22807
129	7983	22722
130	8023	22599
131	8062	22476
132	8102	22358
133	8132	22212
134	8201	22174
135	8295	22203
136	8348	22120
137	8396	22025
138	8452	21952
139	8503	21865
140	8537	21737
141	8580	21631
142	8619	21519
143	8661	21412
144	8690	21276
145	8739	21190
146	8778	21080
147	8839	21023
148	8871	20898
149	8917	20806
150	8962	20715
151	9005	20616
152	9065	20559
153	9111	20471
154	9151	20368
155	9190	20267
156	9231	20167
157	9271	20069
158	9326	20003
159	9364	19898
160	9403	19800
161	9446	19708
162	9486	19613
163	9536	19537
164	9599	19490
165	9650	19416
166	9701	19345
167	9789	19345
168	9848	19289
169	9894	19206
170	9926	19099
171	9974	19020
172	10029	18956
173	10071	18869
174	10114	18784
175	10148	18682
176	10196	18606
177	10243	18529
178	10278	18432
179	10317	18342
180	10348	18237
181	10415	18197
182	10479	18153
183	10549	18117
184	10583	18020
185	10623	17934
186	10663	17849
187	10702	17762
188	10742	17676
189	10784	17595
190	10821	17507
191	10862	17425
192	10902	17343
193	10943	17260
194	10981	17176
195	11022	17096
196	11087	17053
197	11114	16951
198	11165	16888
199	11213	16819
200	11263	16755
201	11299	16670
202	11341	16592
203	11379	16511
204	11420	16434
205	11459	16354
206	11498	16276
207	11553	16219
208	11596	16146
209	11665	16109
210	11702	16029
211	11739	15947
212	11789	15885
213	11818	15794
214	11862	15724
215	11897	15642
216	11941	15573
217	11992	15513
218	12030	15436
219	12082	15377
220	12114	15294
221	12163	15231
222	12216	15174
223	12256	15102
224	12296	15028
225	12349	14972
226	12384	14894
227	12418	14815
228	12475	14763
229	12507	14682
230	12536	14598
231	12582	14534
232	12615	14456
233	12663	14395
234	12696	14317
235	12723	14233
236	12762	14162
237	12810	14102
238	12875	14061
239	12937	14015
240	13001	13972
241	13047	13909
242	13083	13836
243	13123	13769
244	13183	13721
245	13224	13654
246	13255	13577
247	13304	13518
248	13357	13465
249	13396	13396
250	13435	13328
251	13476	13262
252	13528	13207
253	13555	13128
254	13583	13050
255	13622	12983
256	13661	12917
257	13701	12851
258	13757	12801
259	13819	12756
260	13861	12693
261	13926	12650
262	13966	12586
263	14006	12520
264	14034	12445
265	14085	12391
266	14125	12326
267	14177	12273
268	14216	12208
269	14256	12144
270	14297	12081
271	14368	12043
272	14416	11987
273	14473	11937
274	14539	11896
275	14576	11829
276	14615	11766
277	14656	11704
278	14695	11640
279	14722	11567
280	14793	11529
281	14831	11465
282	14883	11412
283	14925	11351
284	14977	11298
285	15014	11234
286	15052	11171
287	15095	11112
288	15148	11059
289	15206	11011
290	15251	10954
291	15293	10893
292	15331	10831
293	15373	10771
294	15411	10709
295	15452	10649
296	15506	10598
297	15545	10537
298	15585	10477
299	15615	10410
300	15649	10346
301	15690	10287
302	15730	10227
303	15790	10180
304	15835	10124
305	15897	10078
306	15945	10024
307	15999	9973
308	16039	9914
309	16107	9872
310	16164	9823
311	16214	9770
312	16279	9725
313	16349	9684
314	16399	9631
315	16436	9570
316	16460	9502
317	16507	9447
318	16580	9407
319	16635	9357
320	16707	9316
321	16761	9265
322	16842	9229
323	16888	9173
324	16962	9133
325	17019	9084
326	17055	9023
327	17118	8976
328	17179	8929
329	17266	8895
330	17294	8830
331	17380	8795
332	17477	8764
333	17560	8727
334	17635	8686
335	17691	8635
336	17756	8588
337	17815	8538
338	17877	8490
339	17967	8455
340	18008	8396
341	18060	8343
342	18134	8300
343	18196	8251
344	18266	8206
345	18334	8160
346	18386	8107
347	18432	8051
348	18491	8000
349	18563	7955
350	18613	7901
351	18680	7854
352	18744	7805
353	18783	7746
354	18841	7696
355	18908	7648
356	18953	7592
357	19009	7540
358	19057	7484
359	19119	7435
360	19204	7394
361	19270	7346
362	19334	7296
363	19360	7233
364	19417	7181
365	19491	7136
366	19544	7082
367	19633	7042
368	19705	6995
369	19783	6951
370	19855	6903
371	19915	6852
372	19977	6802
373	20020	6745
374	20077	6692
375	20130	6638
376	20198	6589
377	20289	6548
378	20319	6487
379	20375	6434
380	20425	6379
381	20465	6321
382	20517	6267
383	20566	6212
384	20640	6165
385	20729	6122
386	20801	6073
387	20901	6033
388	20957	5980
389	21022	5929
390	21081	5876
391	21146	5825
392	21217	5776
393	21273	5723
394	21367	5679
395	21440	5630
396	21485	5574
397	21563	5526
398	21614	5471
399	21678	5419
400	21738	5366
401	21803	5315
402	21866	5263
403	21925	5209
404	21991	5158
405	22053	5105
406	22113	5052
407	22173	4999
408	22243	4949
409	22295	4894
410	22368	4843
411	22448	4794
412	22490	4737
413	22575	4689
414	22621	4633
415	22674	4578
416	22706	4519
417	22761	4465
418	22835	4414
419	22889	4359
420	22954	4307
421	23000	4251
422	23050	4195
423	23133	4146
424	23210	4095
425	23262	4040
426	23357	3993
427	23441	3943
428	23517	3892
429	23578	3838
430	23639	3784
431	23692	3729
432	23746	3674
433	23810	3620
434	23875	3567
435	23937	3513
436	24003	3460
437	24061	3406
438	24110	3350
439	24189	3298
440	24251	3244
441	24284	3186
442	24364	3134
443	24419	3079
444	24488	3026
445	24537	2970
446	24580	2914
447	24606	2856
448	24663	2801
449	24735	2748
450	24789	2693
451	24883	2642
452	24956	2589
453	25011	2534
454	25061	2478
455	25148	2426
456	25222	2373
457	25262	2316
458	25314	2261
459	25366	2205
460	25435	2151
461	25495	2097
462	25548	2041
463	25625	1988
464	25670	1932
465	25733	1877
466	25797	1822
467	25870	1768
468	25940	1714
469	25999	1659
470	26064	1604
471	26129	1550
